sg_permission_lead,05cb61e8-8363-4579-8ce4-010097f67f91
sg_permission_manager,7f4b8985-a18d-45de-8b38-509d4da96aad
sg_permission_editorial,819a15f4-710c-46f0-90fe-4f52da56ac8d
sg_permission_supervisor,88936042-5bb6-4e32-bcca-c97c35c447d3
sg_permission_artist,9faa5e94-6aa7-43ff-8939-930d71a15ef9
sg_permission_admin,cc0026e0-2140-4202-b571-35fd4a1c31b6
sg_permission_producer,e4e7495f-6c1d-4330-925a-3e8a17be4401
sg_permission_production,f78bad9b-c26d-41d3-9358-b8e00e054378
sg_permission_pipeline,f80846f2-53e8-44a7-b85d-1cc1667fb8a4
sg_permission_pipeline_manager,31d9b341-a243-4b7f-91ce-a06596db44c2
sg_permission_production_manager,f31ca7a9-44d2-4a58-a6a4-f7e92785da68
